INCIDENT_I,CUSTOMER_C,TIME_OUTAG,TIME_RESTO,CREW_STATU,Longitude,Latitude
22135.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2834045522,45.1841538097
22136.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.3867713867,45.3030744451
22138.0,2.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.1522500514,45.2731372323
22140.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.0330948088,45.3998184921
22144.0,79.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.2444387005,45.1318622904
22145.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.0560461791,45.4028031934
22146.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.3358814557,45.2245871505
22148.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.435019591,45.2709644093
22149.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.1892885087,45.3216205875
22155.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.3093406955,45.1624927761
22156.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2504174575,45.4926469672
22157.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.2044676099,45.2424705016
22158.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2044072394,45.2411301624
22160.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.3432764963,45.3384627116
22161.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2043803816,45.2418522332
22165.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.254671704,45.1352030926
22168.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.1585893702,45.3857674705
22172.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.3568847352,45.305021446
22174.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2372145405,45.2791268927
22175.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2029353156,45.3245624061
22176.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2705137299,45.1954700218
22177.0,15.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.179163254,45.3703274391
22178.0,100.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Crew Responding,-93.3877025698,45.2701914632
22179.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.1539068876,45.3621044676
